# id,snap_id,uid,x,y,z,x_pixel,y_pixel,i_sector,M500_msolh,r500_kpch,gas_frac,star_frac,T_kev,Lx_ergs,Y500c,M_sat_M_cD,cshift,vx,vy,vz 
1917406,40,1,456685.88,220515.31,279058.44,11691,10738,32,790967000000000.0,1307.45,0.133011,0.0275674,7.76548,18.7471,113.65665,0.110402,0.0,-115.607,541.252,-171.845 
1917405,40,0,415982.38,455860.09,72014.406,10649,4713,18,1284950000000000.0,1537.01,0.13002,0.0242714,11.3366,98.571,190.65939,0.0790033,0.0,-57.8919,254.202,-283.302 
